n_threads,iteration,time
11,48,7.11567
11,47,7.14957
11,51,7.10083
11,49,7.19355
11,50,7.20202
11,52,7.20319
11,53,7.16417
11,54,7.16555
11,55,7.22983
11,56,7.12801
11,59,6.97685
11,58,7.05585
11,57,7.14737
11,60,7.16391
11,61,7.18464
11,64,7.15422
11,62,7.32349
11,65,7.15564
11,63,7.24337
11,70,6.95406
11,67,7.13857
11,68,7.21879
11,66,7.24143
11,69,7.23039
11,71,7.1074
11,72,7.09844
11,76,7.03426
11,75,7.13646
11,73,7.23598
11,74,7.2132
11,77,6.9721
11,78,7.14355
11,80,7.07109
11,79,7.08589
11,81,7.23881
11,83,7.11817
11,82,7.22172
11,84,7.16858
11,85,7.09694
11,86,7.1459
11,87,7.22239
11,88,7.17829
11,90,7.13687
11,89,7.16648
11,91,7.21869
11,93,7.03228
11,94,6.97248
11,95,6.9097
11,92,7.09245
11,96,6.90733
11,97,6.84701
11,98,6.73653
11,99,1.03461
12,0,7.68905
12,6,7.80295
12,5,7.8258
12,8,7.8297
12,2,7.84415
12,4,7.85486
12,7,7.86037
12,9,7.86527
12,10,7.86609
12,1,7.87424
12,11,7.8757
12,3,7.89249
12,12,7.76093
12,13,7.80871
12,16,7.86737
12,14,7.88997
12,19,7.8584
12,15,7.92318
12,18,7.9328
12,23,7.91049
12,21,7.93482
12,20,7.94787
12,22,7.9392
12,17,7.96461
12,24,7.89939
12,25,7.93081
12,26,7.88734
12,28,7.88981
12,32,7.8409
12,27,7.93801
12,29,7.91074
12,31,7.86502
12,30,7.89114
12,33,7.90266
12,34,7.91605
12,35,7.95852
12,36,7.88274
12,37,7.89834
12,38,7.8764
12,39,7.92839
12,41,7.89059
12,43,7.88283
12,40,7.90346
12,42,7.90687
12,44,7.89685
12,45,7.87763
12,46,7.8694
12,47,7.86753
12,48,7.84331
12,49,7.85859
12,50,7.88703
12,54,7.86659
12,52,7.89752
12,51,7.9005
12,53,7.90037
12,58,7.86919
12,57,7.88666
12,55,7.91201
12,59,7.85786
12,56,7.93485
12,60,7.88179
12,61,7.8746
12,62,7.92323
12,63,7.87374
12,64,7.85614
12,65,7.90035
12,67,7.89158
12,68,7.89133
12,66,7.93866
12,69,7.91551
12,71,7.91562
12,70,7.96791
12,72,7.89994
12,73,7.87805
12,76,7.88057
12,74,7.92441
12,77,7.86958
12,75,7.92635
12,78,7.89163
12,81,7.87924
12,80,7.90663
12,79,7.93018
12,82,7.91765
12,83,7.92982
12,84,7.89227
12,85,7.85881
12,86,7.88357
12,88,7.88958
12,89,7.88496
12,87,7.8955
12,91,7.84999
12,92,7.84006
12,90,7.91534
12,94,7.83906
12,93,7.88893
12,95,7.82519
12,96,1.32504
12,98,1.02068
12,97,1.21048
12,99,1.04426
